"filename", "language", "Python", "XML", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"d:\IDEWORK\lvmen\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 7, 12
"d:\IDEWORK\lvmen\lvmen.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"d:\IDEWORK\lvmen\setup.py", "Python", 119, 0, 0, 0, 0, 6, 25, 150
"d:\IDEWORK\lvmen\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\IDEWORK\lvmen\src\cluecode\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\IDEWORK\lvmen\src\cluecode\copyrights.py", "Python", 2265, 0, 0, 0, 0, 604, 685, 3554
"d:\IDEWORK\lvmen\src\cluecode\copyrights_hint.py", "Python", 100, 0, 0, 0, 0, 37, 10, 147
"d:\IDEWORK\lvmen\src\cluecode\finder.py", "Python", 428, 0, 0, 0, 0, 26, 114, 568
"d:\IDEWORK\lvmen\src\cluecode\finder_data.py", "Python", 218, 0, 0, 0, 0, 10, 22, 250
"d:\IDEWORK\lvmen\src\data\Ngram_keywords.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"d:\IDEWORK\lvmen\src\fossagents\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\IDEWORK\lvmen\src\fossagents\atarashiAgent.py", "Python", 63, 0, 0, 0, 0, 2, 18, 83
"d:\IDEWORK\lvmen\src\fossagents\cosineSimNgram.py", "Python", 197, 0, 0, 0, 0, 8, 34, 239
"d:\IDEWORK\lvmen\src\fossagents\dameruLevenDist.py", "Python", 113, 0, 0, 0, 0, 13, 24, 150
"d:\IDEWORK\lvmen\src\fossagents\tfidf.py", "Python", 161, 0, 0, 0, 0, 5, 36, 202
"d:\IDEWORK\lvmen\src\fossagents\wordFrequencySimilarity.py", "Python", 139, 0, 0, 0, 0, 18, 24, 181
"d:\IDEWORK\lvmen\src\fossscan\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\IDEWORK\lvmen\src\fossscan\atarashii.py", "Python", 171, 0, 0, 0, 0, 20, 30, 221
"d:\IDEWORK\lvmen\src\fossscan\build_deps.py", "Python", 56, 0, 0, 0, 0, 2, 15, 73
"d:\IDEWORK\lvmen\src\fossscan\imtihaan.py", "Python", 75, 0, 0, 0, 0, 2, 12, 89
"d:\IDEWORK\lvmen\src\libs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\IDEWORK\lvmen\src\libs\commentPreprocessor.py", "Python", 140, 0, 0, 0, 0, 6, 33, 179
"d:\IDEWORK\lvmen\src\libs\initialmatch.py", "Python", 115, 0, 0, 0, 0, 6, 22, 143
"d:\IDEWORK\lvmen\src\libs\license_clustering.py", "Python", 111, 0, 0, 0, 0, 4, 22, 137
"d:\IDEWORK\lvmen\src\libs\ngram.py", "Python", 133, 0, 0, 0, 0, 3, 35, 171
